fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220911 215730	-0.999999102129694	4090	180	3	5	15224000	181
20220911 215752	-0.990024376068691	6948	2292	30	5	15362000	182
20220911 215815	-0.996094495213089	6092	500	10	5	17320000	183
20220911 215851	-0.999716690417593	5667	1	30	5	14948000	184
20220911 215913	-0.990281208992523	7998	2178	14	5	15362000	185
20220911 215928	-0.99902615303235	6144	1333	3	5	15224000	186
20220911 215953	-0.990035216031358	2588	853	12	5	18150000	187
20220911 220012	-0.994682506139109	3355	185	7	5	18914000	188
20220911 220036	-0.99000023491292	5483	585	12	5	17320000	189
20220911 220108	-0.996105173946816	1141	361	29	5	19264000	190
20220911 220128	-0.994455658475757	4808	1035	7	5	17130000	191
20220911 220159	-0.999804468249789	1682	166	23	5	19994000	192
20220911 220222	-0.999996769963347	7466	1727	16	5	15362000	193
20220911 220246	-0.99943159616067	7999	850	30	5	15362000	194
20220911 220303	-0.997022537037216	8000	262	3	5	15224000	195
20220911 220322	-0.999990565412284	6359	1	7	5	15794000	196
20220911 220345	-0.990005138118537	7171	1640	22	5	15362000	197
20220911 220408	-0.99351261092817	857	194	8	5	21598000	198
20220911 220424	-0.990061162215487	6595	2176	3	5	15224000	199
20220911 220448	-0.997516640332513	7241	764	11	5	15362000	200
20220911 220520	-0.998385403921446	1522	183	30	5	19758000	201
20220911 220537	-0.990000726794752	3587	720	3	5	15224000	202
20220911 220604	-0.99103297068606	690	6	8	5	20462000	203
20220911 220633	-0.990012845602996	469	154	13	5	19370000	204
20220911 220704	-0.99337551158392	634	197	15	5	19966000	205
20220911 220727	-0.991412359804432	933	176	8	5	21442000	206
20220911 220754	-0.993659171351527	597	188	11	5	20400000	207
20220911 220825	-0.996567402020254	1350	435	28	5	19422000	208
20220911 220857	-0.997944244374666	733	191	16	5	20242000	209
20220911 220928	-0.993752405152431	869	285	19	5	20246000	210
20220911 221001	-0.998473454853328	860	174	25	5	20424000	211
20220911 221035	-0.992852469596101	637	202	21	5	19858000	212
20220911 221107	-0.99409582890423	973	319	26	5	19438000	213
20220911 221137	-0.995129160877841	1714	564	28	5	19114000	214
20220911 221206	-0.991495363987226	873	195	13	5	20512000	215
20220911 221231	-0.990838576310708	549	179	8	5	21530000	216
20220911 221303	-0.999526633178234	2283	271	24	5	19266000	217
20220911 221334	-0.995894534391045	1155	380	23	5	18906000	218
20220911 221357	-0.99998836654323	6127	1660	27	5	17320000	219
20220911 221413	-0.990013642733383	7405	1137	3	5	15224000	220
20220911 221438	-0.998628950629704	766	210	8	5	21658000	221
20220911 221508	-0.990072209546794	1433	470	30	5	19612000	222
20220911 221534	-0.990012704242902	4288	940	30	5	17086000	223
20220911 221602	-0.990004885821844	5873	433	30	5	17320000	224
