fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220911 025232	-0.997220910417851	312	156	13	5	18082000	157
20220911 025257	-0.997261646411605	1915	3	13	5	17746000	158
20220911 025321	-0.99914052188303	7646	222	13	5	15154000	159
20220911 025343	-0.999767037227889	4885	1331	14	5	17320000	160
20220911 025406	-0.991825199280453	5034	1081	14	5	17320000	161
20220911 025433	-0.999225636579602	226	37	14	5	16300000	162
20220911 025455	-0.9993475672502	6843	1285	14	5	15362000	163
20220911 025518	-0.992148533793648	7058	844	14	5	15362000	164
20220911 025539	-0.997073388273294	5174	1608	14	5	17320000	165
20220911 025604	-0.992098039158997	2279	373	13	5	18944000	166
20220911 025626	-0.993921112724429	5144	1521	13	5	17320000	167
20220911 025648	-0.994589067466721	4325	2159	13	5	17532000	168
20220911 025718	-0.994721033748085	4621	2281	13	5	16984000	169
20220911 025745	-0.996596301797216	3288	66	14	5	16998000	170
20220911 025811	-0.997249866993317	840	401	13	5	18280000	171
20220911 025837	-0.994154277039343	1162	9	13	5	19674000	172
20220911 025902	-0.996601815933207	3089	629	14	5	17988000	173
20220911 025924	-0.99884674033536	5676	2652	14	5	17298000	174
20220911 025946	-0.991730690648601	7708	3827	14	5	16352000	175
20220911 030008	-0.993751304602401	7655	3073	13	5	15736000	176
20220911 030031	-0.996795353320754	5996	1201	14	5	17320000	177
20220911 030053	-0.990065118275614	7438	1226	13	5	15362000	178
20220911 030116	-0.998344703754043	4256	1720	13	5	17094000	179
20220911 030138	-0.999741648954576	5742	1707	14	5	17320000	180
20220911 030201	-0.993228237417336	4205	1786	14	5	17576000	181
20220911 030222	-0.99251659977996	6821	3384	13	5	15840000	182
20220911 030247	-0.997198957405136	2483	449	13	5	18962000	183
20220911 030309	-0.999188315596534	7797	1180	13	5	15362000	184
20220911 030335	-0.994461375396592	7287	107	14	5	15008000	185
20220911 030358	-0.995748824951565	7916	591	13	5	15362000	186
20220911 030422	-0.991601391220044	6938	479	13	5	15362000	187
20220911 030446	-0.991042522713129	3202	906	13	5	18946000	188
20220911 030508	-0.994515560345411	7572	1604	13	5	15362000	189
20220911 030532	-0.997367340505552	3379	822	13	5	18940000	190
20220911 030554	-0.99843731810952	6733	1828	14	5	15362000	191
20220911 030620	-0.997281062484565	2147	647	14	5	18696000	192
20220911 030644	-0.991942284363377	3006	992	13	5	17942000	193
20220911 030707	-0.995559976373398	3876	1430	13	5	17624000	194
20220911 030733	-0.994350435892881	5772	2804	14	5	17328000	195
20220911 030757	-0.999421970305587	2828	1161	13	5	17186000	196
20220911 030823	-0.998142425846382	1842	292	14	5	20074000	197
20220911 030847	-0.991657252237787	5998	1143	14	5	17320000	198
20220911 030909	-0.99805258034316	4772	1589	14	5	17138000	199
20220911 030933	-0.999616731290264	6270	624	13	5	17320000	200
20220911 031000	-0.99237751753998	437	8	13	5	18890000	201
20220911 031025	-0.995210633650019	5711	186	13	5	17112000	202
20220911 031049	-0.993577073277469	6021	257	13	5	17110000	203
20220911 031111	-0.999878065575833	7946	2863	14	5	15472000	204
20220911 031132	-0.992605017484221	6787	2163	13	5	15362000	205
20220911 031154	-0.991386694860302	7417	1546	13	5	15362000	206
20220911 031218	-0.99855224721174	4681	1029	13	5	17130000	207
20220911 031241	-0.996048374441608	4743	2096	13	5	17098000	208
20220911 031306	-0.993494355414204	5488	90	13	5	17160000	209
20220911 031329	-0.993912891999261	4881	1810	13	5	17320000	210
20220911 031353	-0.993386428904056	4453	692	14	5	17130000	211
20220911 031417	-0.997345419974858	5976	1010	13	5	17320000	212
20220911 031442	-0.991548076614648	3594	1059	13	5	18430000	213
20220911 031506	-0.991157688254758	3587	795	13	5	18604000	214
20220911 031531	-0.99011858988644	5858	856	14	5	17320000	215
20220911 031555	-0.99458908143662	3811	771	13	5	18388000	216
